Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Will Hoffenkamp,10,230,259,34,22,12,5,6,488,92.95,3497,2522,975,44.79,30,29,0,4,0,3,37.50,2,204,26,243,thunderbirds,2025,152.0,0.55,0.11,0.38,48.02,0.3,4.35,0.29,0.25,0.26,26.16,21.88,0.67,-0.11,-0.9,1.06,2.34,2.86,1.0,0.08,2.92,0.02,1.65,-0.57,-0.92,-1.163
Connor Newell,8,148,144,12,8,4,3,5,183,93.85,1592,1226,366,43.06,7,8,0,2,0,3,50.00,2,83,65,159,thunderbirds,2025,152.0,0.82,0.19,0.67,72.3,0.38,5.66,0.42,0.4,0.32,37.66,34.67,-0.58,-0.57,-0.98,-0.16,-0.31,0.41,-0.27,-0.76,0.06,-0.73,0.35,-0.75,-0.4,-0.409
Caleb Stanish,6,54,31,2,1,1,2,4,4,100.0,120,14,106,32.26,1,0,0,0,0,0,--,0,3,51,56,thunderbirds,2025,152.0,3.11,0.75,2.75,258.33,1.42,18.44,1.56,1.56,1.11,122.19,136.28,-1.15,-0.81,-1.05,-1.09,-1.0,-1.03,-0.9,-1.08,-1.03,-1.05,-0.87,-1.89,-0.25,-0.152
Jake Murray,7,101,76,5,3,2,4,4,59,89.39,595,410,185,42.11,6,5,0,0,0,1,100.00,1,21,80,111,thunderbirds,2025,152.0,1.42,0.36,1.22,120.68,0.69,8.88,0.72,0.7,0.56,59.2,61.54,-0.98,-0.34,-1.05,-0.79,-0.43,-0.59,-0.72,-0.97,-0.35,-0.95,-0.47,-0.85,-0.36,-0.308
Ryan Kindell,7,103,73,2,1,1,8,4,15,75.0,250,44,206,42.47,2,5,0,1,0,0,0.00,12,7,96,122,thunderbirds,2025,152.0,1.44,0.42,1.27,120.9,0.67,8.65,0.72,0.72,0.58,56.78,64.18,-1.15,0.59,-1.05,-1.01,-0.89,-0.94,-0.9,-1.08,-0.35,-0.92,-0.84,-0.81,-0.65,-0.582
Wyatt Krisky,3,42,27,4,1,3,2,4,14,93.33,309,48,261,55.56,0,1,0,1,0,0,--,0,6,36,41,thunderbirds,2025,152.0,3.56,0.84,3.09,296.53,1.56,21.06,1.75,1.81,1.28,138.53,158.16,-1.03,-0.81,-1.05,-0.97,-1.12,-0.95,-0.9,-0.87,-0.9,-0.86,-0.83,0.57,-0.34,-0.177
Nate Knutson,10,206,261,39,9,30,7,37,143,94.08,2314,352,1962,35.25,15,5,0,4,0,0,--,0,187,19,253,steel,2025,163.0,0.56,0.12,0.5,43.21,0.24,3.02,0.24,0.32,0.17,17.81,25.42,0.95,0.36,1.3,0.3,0.61,0.09,-0.17,1.96,-0.35,1.23,-0.53,-1.58,0.56,0.698
Archer Gordon,10,175,221,27,6,21,2,25,122,96.83,2147,412,1735,39.82,8,3,1,1,0,1,50.00,0,170,5,208,steel,2025,163.0,0.61,0.12,0.53,50.12,0.26,3.46,0.27,0.34,0.19,21.23,28.92,0.27,-0.81,0.44,0.2,-0.19,-0.08,-0.45,1.02,-0.62,0.95,-0.47,-1.09,0.22,0.249
Zac Scheuerman,12,195,138,14,1,13,9,17,30,78.95,814,19,795,34.78,1,3,0,3,0,0,0.00,0,32,163,224,steel,2025,163.0,0.87,0.24,0.78,69.89,0.36,4.83,0.39,0.48,0.3,30.8,39.13,-0.47,0.83,-0.12,-0.65,-1.0,-0.82,-0.9,0.18,-0.62,-0.2,-0.86,-1.63,-0.31,-0.363
Caleb Campbell,12,216,158,18,12,6,10,13,178,90.82,1364,1056,308,34.81,15,11,0,4,0,4,80.00,100,28,188,245,steel,2025,163.0,0.79,0.21,0.66,64.69,0.4,5.14,0.41,0.37,0.31,33.38,31.34,-0.24,1.06,-0.41,-0.3,0.61,0.37,0.1,-0.55,0.47,-0.8,0.18,-1.62,-0.2,-0.245
Ben Thoennes,8,204,185,41,30,11,13,12,205,80.39,3933,2598,1335,41.62,14,41,1,1,0,26,53.06,81,93,111,223,steel,2025,163.0,0.79,0.2,0.56,69.02,0.34,4.55,0.45,0.35,0.43,36.75,32.29,1.06,1.76,-0.48,1.34,0.5,0.59,1.72,-0.03,4.55,0.46,1.73,-0.9,-1.59,-1.86
Quinn Buermeyer,12,253,321,25,3,22,4,12,228,93.06,2337,782,1555,38.63,14,14,0,3,0,1,25.00,0,244,9,308,steel,2025,163.0,0.41,0.09,0.33,35.33,0.2,2.72,0.18,0.24,0.17,15.85,19.49,0.16,-0.34,-0.48,0.32,0.5,0.77,-0.72,1.12,0.87,0.73,-0.1,-1.22,-0.65,-0.894
