Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Austin Taylor,14,301,352,72,58,14,2,54,619,96.42,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,210.0,0.51,0.08,0.42,47.43,0.23,3.58,0.32,0.19,0.16,27.36,20.09,2.82,-0.81,2.5,3.77,2.46,3.91,4.25,0.29,1.42,1.73,4.53,1.39,1.94,2.468
Adam Miller,13,284,324,68,43,25,1,52,469,96.3,5215,3253,1962,62.04,27,16,0,1,0,14,73.68,5,257,27,320,hustle,2025,210.0,0.54,0.08,0.45,43.75,0.23,3.43,0.3,0.24,0.17,23.22,20.55,2.59,-1.04,2.36,2.15,2.0,2.7,2.89,1.44,1.15,1.23,2.39,1.25,1.29,1.592
Hayden Austin-Knab,14,297,343,59,37,22,5,45,431,95.35,5703,3393,2310,62.39,33,18,0,1,1,22,75.86,2,288,9,332,hustle,2025,210.0,0.49,0.09,0.4,42.77,0.24,3.14,0.26,0.22,0.17,22.35,20.43,2.08,-0.11,1.86,2.46,2.69,2.4,2.35,1.12,1.42,1.66,2.53,1.29,1.33,1.672
Alec Wilson Holliday,13,163,188,45,7,38,4,43,102,94.44,2581,307,2274,65.96,15,6,0,0,0,2,100.00,0,162,1,185,hustle,2025,210.0,0.8,0.15,0.72,60.94,0.34,3.95,0.32,0.48,0.24,24.31,36.65,1.29,-0.34,1.72,0.47,0.61,-0.24,-0.36,2.8,-0.21,1.61,-0.57,1.67,0.7,0.657
Brett Hulsmeyer,13,323,347,53,28,25,11,39,353,93.39,5561,1832,3729,61.67,32,22,1,3,0,8,47.06,8,245,78,354,hustle,2025,210.0,0.46,0.1,0.38,41.88,0.23,2.88,0.24,0.23,0.18,17.66,24.23,1.74,1.29,1.44,2.37,2.58,1.77,1.54,1.44,1.96,3.4,0.96,1.21,0.33,0.428
Karl Ekwurtzel,14,171,201,35,2,33,3,34,93,96.88,1786,-121,1907,62.19,9,3,0,1,0,0,--,0,161,10,212,hustle,2025,210.0,0.7,0.14,0.63,53.23,0.29,3.66,0.28,0.43,0.21,20.7,32.56,0.72,-0.57,1.08,-0.03,-0.08,-0.31,-0.81,2.28,-0.62,1.16,-1.0,1.27,0.27,0.271
Jeremy Langdon,9,146,149,35,16,19,2,31,108,96.43,2121,816,1305,63.76,15,3,0,3,0,2,66.67,4,115,31,151,hustle,2025,210.0,0.94,0.18,0.82,73.38,0.42,4.99,0.46,0.48,0.28,33.77,39.64,0.72,-0.81,0.87,0.18,0.61,-0.19,0.46,0.81,-0.62,0.42,-0.06,1.43,0.98,0.831
Dean Ramsey,14,239,117,18,6,12,10,28,18,94.74,935,117,818,53.85,3,0,0,0,1,1,100.00,122,10,229,253,hustle,2025,210.0,1.05,0.29,1.01,82.91,0.43,5.56,0.5,0.55,0.33,36.9,46.05,-0.24,1.06,0.66,-0.57,-0.77,-0.91,-0.45,0.08,-1.03,-0.17,-0.76,0.39,0.23,0.252
Lukas McClamrock,12,190,95,18,12,6,16,24,104,89.66,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,210.0,1.28,0.41,1.19,102.86,0.62,7.64,0.67,0.61,0.5,51.49,51.42,-0.24,2.46,0.37,-0.47,0.27,-0.22,0.1,-0.55,0.33,-0.76,-0.11,0.81,-0.15,-0.15
Tyler Randall,14,260,128,17,7,10,10,23,77,96.25,796,347,449,55.47,9,3,0,1,0,2,100.00,0,0,260,282,hustle,2025,210.0,0.95,0.26,0.89,75.01,0.44,5.54,0.47,0.49,0.32,35.58,39.47,-0.3,1.06,0.3,-0.66,-0.08,-0.44,-0.36,-0.13,-0.62,-0.63,-0.53,0.56,0.15,0.174
Cameron Brock,11,163,193,27,11,16,1,22,174,97.21,2209,894,1315,62.18,10,5,1,1,0,2,100.00,0,163,0,201,hustle,2025,210.0,0.69,0.13,0.59,57.52,0.3,4.21,0.33,0.36,0.23,26.66,30.88,0.27,-1.04,0.23,0.24,0.04,0.34,0.01,0.5,-0.35,0.44,0.02,1.27,0.23,0.225
Michael Fairley,9,163,84,15,9,6,10,20,58,92.06,931,579,352,53.57,2,5,0,0,1,6,85.71,109,7,156,175,hustle,2025,210.0,1.4,0.39,1.29,113.61,0.58,8.07,0.72,0.69,0.51,55.78,57.89,-0.41,1.06,0.09,-0.58,-0.89,-0.59,-0.17,-0.55,-0.35,-0.75,-0.3,0.36,-0.21,-0.192
Sean Connole,10,164,187,24,8,16,4,18,136,93.79,1996,675,1321,58.82,10,9,0,1,0,4,80.00,0,133,31,193,hustle,2025,210.0,0.7,0.15,0.59,58.21,0.31,4.15,0.33,0.37,0.26,26.35,31.88,0.1,-0.34,-0.05,0.1,0.04,0.03,-0.27,0.5,0.19,0.44,-0.2,0.91,-0.18,-0.173
Michael Poe,6,84,34,8,2,6,6,14,17,94.44,465,133,332,67.65,3,0,0,0,0,1,100.00,0,0,84,81,hustle,2025,210.0,3.03,0.79,2.79,247.31,1.36,17.36,1.46,1.56,1.03,115.85,131.59,-0.81,0.13,-0.34,-0.87,-0.77,-0.92,-0.81,-0.55,-1.03,-0.77,-0.75,1.84,-0.01,-0.006
Christian Olsen,9,168,202,19,12,7,2,13,371,98.15,2684,2167,517,63.37,22,6,0,2,0,1,50.00,1,161,7,191,hustle,2025,210.0,0.62,0.13,0.52,57.31,0.35,4.98,0.32,0.3,0.22,31.65,25.69,-0.18,-0.81,-0.41,0.54,1.42,1.92,0.1,-0.45,-0.21,-0.54,1.3,1.39,0.47,0.448
Kennith Taylor,11,196,89,10,5,5,10,12,83,91.21,721,542,179,58.43,10,7,0,1,0,3,75.00,6,1,195,204,hustle,2025,210.0,1.28,0.37,1.14,105.33,0.64,7.9,0.64,0.64,0.5,52.41,52.97,-0.69,1.06,-0.48,-0.71,0.04,-0.39,-0.54,-0.66,-0.08,-0.96,-0.34,0.87,-0.24,-0.237
Trip Crowley,7,64,42,8,0,8,2,10,13,100.0,223,-61,284,50.0,0,0,0,0,0,0,--,0,17,47,73,hustle,2025,210.0,2.51,0.57,2.23,200.06,1.06,14.32,1.17,1.34,0.85,92.0,108.17,-0.81,-0.81,-0.62,-1.03,-1.12,-0.95,-0.99,-0.34,-1.03,-0.83,-0.94,-0.02,-0.23,-0.136
Jakeem Polk,12,171,81,5,3,2,4,8,22,95.65,204,107,97,46.91,1,1,0,0,0,1,100.00,30,2,169,180,hustle,2025,210.0,1.34,0.34,1.2,109.12,0.59,7.93,0.67,0.66,0.48,52.23,56.94,-0.98,-0.34,-0.76,-1.04,-1.0,-0.88,-0.72,-0.97,-0.9,-1.06,-0.77,-0.35,-0.26,-0.241
Mike Kobyra,12,139,71,5,2,3,3,8,17,100.0,323,110,213,54.93,3,0,0,0,0,0,--,12,0,139,157,hustle,2025,210.0,1.51,0.37,1.36,125.04,0.7,8.91,0.75,0.76,0.53,59.14,65.96,-0.98,-0.57,-0.76,-0.96,-0.77,-0.92,-0.81,-0.87,-1.03,-0.92,-0.77,0.5,-0.08,-0.069
Franky Fernandez,7,100,54,4,3,1,6,7,23,95.83,209,24,185,50.0,0,1,0,2,0,0,--,0,0,100,112,hustle,2025,210.0,1.93,0.53,1.73,159.14,0.85,11.58,0.98,0.95,0.69,74.73,84.49,-1.03,0.13,-0.83,-1.04,-1.12,-0.87,-0.72,-1.08,-0.9,-0.95,-0.86,-0.02,-0.38,-0.278
Mark Henke,12,260,266,59,22,37,12,62,169,96.02,3114,752,2362,56.02,16,7,0,2,1,3,75.00,0,173,87,289,sol,2025,193.0,0.62,0.14,0.58,45.37,0.24,3.06,0.28,0.34,0.17,18.96,26.43,2.08,1.53,3.07,0.81,0.73,0.3,1.0,2.7,-0.08,1.72,-0.13,0.62,1.05,1.285
Eric Brodbeck,13,280,338,49,21,28,4,39,322,94.71,4496,2481,2015,56.8,21,14,0,0,0,2,66.67,0,276,4,305,sol,2025,193.0,0.46,0.08,0.39,39.87,0.21,2.86,0.22,0.24,0.16,20.02,19.87,1.52,-0.34,1.44,1.69,1.31,1.52,0.91,1.75,0.87,1.29,1.61,0.7,0.75,0.943
Jackson Potts,8,189,218,49,28,21,2,38,158,92.94,2791,1073,1718,57.8,12,12,0,1,0,5,41.67,4,168,21,199,sol,2025,193.0,0.71,0.12,0.6,53.68,0.28,3.67,0.37,0.34,0.23,24.48,29.23,1.52,-0.81,1.37,0.61,0.27,0.21,1.54,1.02,0.6,0.93,0.2,0.8,0.43,0.437
Kyle Henke,13,319,367,57,29,28,12,37,427,91.83,6491,3395,3096,56.13,36,32,1,0,0,16,51.61,1,290,29,337,sol,2025,193.0,0.45,0.1,0.35,42.13,0.23,2.92,0.23,0.22,0.19,20.91,21.23,1.97,1.53,1.3,2.96,3.04,2.37,1.63,1.75,3.33,2.62,2.53,0.63,0.2,0.264
Joey Wylie,11,251,259,40,23,17,5,33,270,96.09,3777,1664,2113,56.76,19,10,0,2,0,2,50.00,0,171,80,272,sol,2025,193.0,0.57,0.11,0.48,49.08,0.26,3.52,0.3,0.27,0.19,22.91,26.19,1.01,-0.11,1.01,1.24,1.07,1.11,1.09,0.6,0.33,1.41,0.79,0.69,0.61,0.724
Myles Armstrong,10,205,246,40,18,22,0,28,188,94.95,3051,1311,1740,55.69,18,10,0,2,0,9,90.00,0,201,4,223,sol,2025,193.0,0.6,0.1,0.49,48.73,0.27,3.38,0.29,0.31,0.2,22.69,26.06,1.01,-1.27,0.66,0.77,0.96,0.45,0.64,1.12,0.33,0.96,0.44,0.58,0.63,0.677
Owen Johnson,12,183,115,16,4,12,14,26,58,93.55,967,157,810,59.13,8,4,0,0,0,0,--,0,21,162,192,sol,2025,193.0,1.05,0.32,1.01,84.56,0.48,5.98,0.49,0.56,0.37,37.85,46.75,-0.35,2.0,0.52,-0.55,-0.19,-0.59,-0.63,0.08,-0.49,-0.18,-0.72,0.94,-0.04,-0.04
Connor DeLuna,9,147,85,17,5,12,9,25,14,93.33,639,74,565,56.47,3,1,0,0,0,0,--,0,2,145,155,sol,2025,193.0,1.41,0.38,1.33,109.1,0.59,7.49,0.67,0.74,0.46,49.54,59.61,-0.3,0.83,0.44,-0.76,-0.77,-0.95,-0.54,0.08,-0.9,-0.48,-0.81,0.66,0.11,0.099
Reese Bowman,8,174,196,28,13,15,1,21,94,93.07,1851,787,1064,55.1,10,6,0,2,0,4,57.14,1,165,9,179,sol,2025,193.0,0.69,0.13,0.58,54.88,0.3,3.75,0.34,0.35,0.23,25.73,29.17,0.33,-1.04,0.16,0.01,0.04,-0.3,0.19,0.39,-0.21,0.13,-0.09,0.52,0.36,0.347
Mick Walter,11,176,120,11,5,6,7,18,68,100.0,899,528,371,50.83,4,0,0,0,0,1,100.00,0,25,151,195,sol,2025,193.0,0.97,0.26,0.9,80.63,0.43,5.82,0.48,0.49,0.32,39.3,41.37,-0.64,0.36,-0.05,-0.6,-0.66,-0.51,-0.54,-0.55,-1.03,-0.72,-0.35,0.07,0.14,0.141
Noah Powell,12,180,94,7,1,6,10,17,35,100.0,593,75,518,52.13,2,0,0,0,0,0,--,0,3,177,181,sol,2025,193.0,1.18,0.35,1.13,98.72,0.53,7.02,0.57,0.62,0.4,45.05,53.72,-0.86,1.06,-0.12,-0.79,-0.89,-0.78,-0.9,-0.55,-1.03,-0.54,-0.81,0.21,-0.16,-0.155
Elliott Moore,12,244,274,42,30,12,1,16,379,93.35,4797,3678,1119,54.74,28,26,1,1,0,12,66.67,0,194,50,267,sol,2025,193.0,0.54,0.09,0.4,50.1,0.28,3.72,0.3,0.24,0.24,28.9,21.22,1.12,-1.04,-0.19,1.89,2.11,1.98,1.72,0.08,2.51,0.2,2.82,0.48,0.29,0.341
Carson Armstrong,12,239,280,29,19,10,0,12,323,95.0,4195,2468,1727,57.86,20,16,0,1,0,6,66.67,0,229,10,254,sol,2025,193.0,0.49,0.09,0.38,46.93,0.25,3.45,0.26,0.23,0.2,24.05,22.9,0.38,-1.27,-0.48,1.5,1.19,1.53,0.73,-0.13,1.15,0.94,1.6,0.81,0.07,0.08
Nicholas DiGiorgio,9,119,112,15,6,9,2,12,56,93.33,926,232,694,54.46,4,4,0,1,0,1,100.00,0,58,61,134,sol,2025,193.0,1.07,0.23,0.91,86.38,0.46,6.12,0.52,0.55,0.38,39.46,46.96,-0.41,-0.81,-0.48,-0.58,-0.66,-0.61,-0.45,-0.24,-0.49,-0.33,-0.65,0.45,-0.2,-0.167
Trenton Hebert,8,86,39,11,7,4,2,12,29,96.67,472,252,220,64.1,2,1,0,0,0,1,100.00,3,0,86,77,sol,2025,193.0,2.75,0.61,2.43,219.36,1.18,15.66,1.41,1.34,0.93,105.39,114.09,-0.64,-0.81,-0.48,-0.87,-0.89,-0.83,-0.36,-0.76,-0.9,-0.91,-0.63,1.47,-0.02,-0.013
Brandon Dial,11,175,129,11,5,6,4,11,98,96.08,856,392,464,51.16,6,4,0,0,0,0,--,3,27,148,201,sol,2025,193.0,0.9,0.22,0.79,74.9,0.42,5.66,0.45,0.46,0.33,35.65,39.28,-0.64,-0.34,-0.55,-0.62,-0.43,-0.27,-0.54,-0.55,-0.49,-0.61,-0.49,0.1,-0.26,-0.265
Alex Janelle,9,97,58,7,5,2,8,9,39,84.78,577,366,211,51.72,4,6,1,0,0,4,66.67,45,0,97,103,sol,2025,193.0,1.86,0.52,1.65,154.87,0.86,11.1,0.95,0.9,0.73,75.41,79.54,-0.86,0.59,-0.69,-0.8,-0.66,-0.75,-0.54,-0.97,-0.21,-0.92,-0.51,0.16,-0.44,-0.321
Daniel Welkener,9,96,67,8,5,3,3,9,46,95.83,695,469,226,59.7,2,2,0,0,0,2,66.67,24,1,95,107,sol,2025,193.0,1.64,0.39,1.44,137.15,0.72,9.81,0.83,0.81,0.58,67.42,69.81,-0.81,-0.57,-0.69,-0.73,-0.89,-0.69,-0.54,-0.87,-0.76,-0.9,-0.41,1.0,-0.15,-0.112
Oakley Armstrong,9,108,69,6,1,5,5,7,24,88.89,410,220,190,50.72,5,3,0,1,1,0,--,3,0,108,123,sol,2025,193.0,1.57,0.41,1.38,129.59,0.74,9.24,0.76,0.81,0.58,62.23,67.43,-0.92,-0.11,-0.83,-0.91,-0.54,-0.87,-0.9,-0.66,-0.62,-0.94,-0.66,0.06,-0.2,-0.16
Noah Furrh,6,70,36,2,0,2,4,4,6,75.0,156,41,115,36.11,0,2,0,0,0,0,--,0,3,67,69,sol,2025,193.0,2.73,0.71,2.41,227.71,1.22,16.24,1.34,1.39,1.02,107.95,119.88,-1.15,-0.34,-1.05,-1.07,-1.12,-1.01,-0.99,-0.97,-0.76,-1.04,-0.84,-1.48,-0.46,-0.275
Tobe Decraene,14,267,323,91,50,41,4,72,406,94.42,6502,2230,4272,56.04,25,20,0,3,0,7,63.64,1,248,19,327,glory,2025,209.0,0.61,0.09,0.51,47.81,0.23,3.25,0.32,0.29,0.18,20.17,27.66,3.9,-0.34,3.78,2.97,1.77,2.2,3.52,3.12,1.69,4.06,1.36,0.62,1.16,1.451
Jeff Babbitt,12,223,208,28,0,28,24,51,197,98.01,1330,284,1046,52.4,12,1,0,0,0,0,--,0,117,106,277,glory,2025,209.0,0.65,0.23,0.69,49.34,0.29,4.02,0.26,0.39,0.19,21.92,27.45,0.33,4.33,2.29,-0.32,0.27,0.52,-0.99,1.75,-0.9,0.11,-0.6,0.23,0.28,0.322
Tannor Johnson-Go,11,192,130,37,25,12,14,43,211,96.35,2357,1113,1244,56.92,11,7,0,1,0,2,40.00,119,28,164,241,glory,2025,209.0,1.09,0.29,1.02,85.46,0.45,6.45,0.59,0.5,0.35,40.73,44.77,0.84,2.0,1.72,0.33,0.15,0.63,1.27,0.08,-0.08,0.35,0.24,0.71,0.39,0.419
Orion Cable,15,274,328,57,17,40,5,39,181,90.5,4308,678,3630,54.88,12,19,1,4,0,17,56.67,0,250,24,322,glory,2025,209.0,0.5,0.09,0.4,40.5,0.19,2.53,0.22,0.29,0.18,15.2,25.32,1.97,-0.11,1.44,1.57,0.27,0.39,0.55,3.01,1.56,3.27,-0.2,0.5,-0.29,-0.36
Simon Carapella,11,179,234,36,20,16,7,37,304,97.44,2868,1063,1805,58.97,20,4,0,2,0,6,85.71,0,179,0,232,glory,2025,209.0,0.61,0.13,0.55,50.41,0.29,4.03,0.31,0.3,0.18,22.79,27.64,0.78,0.36,1.3,0.66,1.19,1.38,0.82,0.5,-0.49,1.04,0.19,0.93,0.7,0.738
Benjamin Sadok,13,226,283,44,30,14,4,35,455,97.01,5349,4216,1133,58.66,21,13,0,0,0,15,78.95,0,226,0,281,glory,2025,209.0,0.53,0.1,0.45,50.45,0.25,3.87,0.3,0.24,0.18,29.86,20.6,1.23,-0.34,1.15,2.24,1.31,2.59,1.72,0.29,0.74,0.21,3.36,0.9,1.12,1.299
Calvin Stoughton,12,223,236,48,28,20,7,33,279,92.08,3923,1811,2112,58.9,27,22,0,0,0,8,57.14,1,156,67,274,glory,2025,209.0,0.66,0.13,0.53,54.37,0.32,3.9,0.34,0.31,0.26,25.71,28.68,1.46,0.36,1.01,1.33,2.0,1.18,1.54,0.91,1.96,1.41,0.94,0.92,0.2,0.229
Albert Yuan,15,193,192,24,9,15,4,22,89,95.7,1814,532,1282,56.25,12,2,0,4,0,1,100.00,0,106,87,262,glory,2025,209.0,0.68,0.15,0.59,55.81,0.31,3.8,0.32,0.36,0.21,24.96,30.87,0.1,-0.34,0.23,-0.01,0.27,-0.34,-0.17,0.39,-0.76,0.4,-0.35,0.64,0.58,0.649
Tyler Chan,11,170,134,15,9,6,11,20,115,93.5,1487,793,694,55.22,8,6,0,0,0,4,44.44,2,38,132,212,glory,2025,209.0,0.9,0.26,0.83,76.74,0.42,5.58,0.46,0.44,0.33,37.25,39.53,-0.41,1.29,0.09,-0.22,-0.19,-0.14,-0.17,-0.55,-0.21,-0.33,-0.08,0.53,-0.09,-0.091
Nathanial Dick,14,225,294,25,11,14,1,16,422,98.14,3462,2605,857,55.78,23,8,0,2,0,2,66.67,0,225,0,300,glory,2025,209.0,0.45,0.09,0.37,42.28,0.24,3.62,0.22,0.23,0.16,23.38,18.92,0.16,-1.04,-0.19,1.04,1.54,2.33,0.01,0.29,0.06,-0.13,1.74,0.59,0.51,0.611
Ivan Tran,11,134,71,7,2,5,8,15,60,100.0,485,135,350,54.93,5,0,0,0,0,1,100.00,0,0,134,170,glory,2025,209.0,1.54,0.43,1.45,127.17,0.72,9.47,0.75,0.79,0.53,59.47,67.76,-0.86,0.59,-0.27,-0.86,-0.54,-0.58,-0.81,-0.66,-1.03,-0.75,-0.75,0.5,-0.07,-0.063
Sebastian Rossi,10,138,76,10,5,5,7,15,34,94.44,716,254,462,63.16,1,2,0,0,0,2,100.00,11,12,126,159,glory,2025,209.0,1.48,0.4,1.36,122.17,0.63,8.57,0.74,0.74,0.52,57.27,64.96,-0.69,0.36,-0.27,-0.71,-1.0,-0.79,-0.54,-0.66,-0.76,-0.61,-0.63,1.37,-0.2,-0.174
Turner Allen,9,126,72,11,6,5,6,15,99,98.02,810,167,643,62.5,5,1,0,1,0,0,--,0,10,116,162,glory,2025,209.0,1.57,0.4,1.43,129.74,0.71,9.86,0.79,0.78,0.53,59.12,70.69,-0.64,0.13,-0.27,-0.65,-0.54,-0.26,-0.45,-0.66,-0.9,-0.39,-0.71,1.3,-0.14,-0.123
Brendan McCann,15,226,133,14,6,8,4,11,161,94.71,1310,1235,75,54.14,8,6,0,1,0,9,81.82,66,7,219,269,glory,2025,209.0,0.9,0.21,0.77,76.01,0.42,5.95,0.44,0.46,0.33,40.72,35.33,-0.47,-0.34,-0.55,-0.34,-0.19,0.23,-0.45,-0.34,-0.21,-1.08,0.36,0.42,-0.09,-0.102
Topher Davis,12,183,217,15,9,6,3,10,169,96.57,1587,815,772,56.22,13,6,0,2,0,1,33.33,0,155,28,248,glory,2025,209.0,0.56,0.13,0.47,48.5,0.28,3.73,0.29,0.27,0.21,23.42,25.1,-0.41,-0.57,-0.62,-0.16,0.38,0.3,-0.17,-0.55,-0.21,-0.23,-0.06,0.64,-0.02,-0.022
Wyatt Kellman,3,52,58,15,10,5,2,10,50,84.75,892,358,534,53.45,5,7,0,0,0,3,50.00,0,47,5,62,glory,2025,209.0,1.98,0.43,1.67,159.87,0.87,11.27,1.03,0.95,0.75,75.29,84.67,-0.41,-0.81,-0.62,-0.6,-0.54,-0.66,-0.08,-0.66,-0.08,-0.52,-0.52,0.35,-0.3,-0.163
Peter Boerth,4,71,44,10,1,9,2,9,50,94.34,583,170,413,63.64,7,2,0,1,0,0,--,0,14,57,84,glory,2025,209.0,2.45,0.55,2.12,199.24,1.16,14.49,1.14,1.31,0.86,92.96,106.39,-0.69,-0.81,-0.69,-0.8,-0.31,-0.66,-0.9,-0.24,-0.76,-0.67,-0.71,1.42,-0.04,-0.025
Benjamin Horrisberger,8,112,61,5,3,2,6,8,44,93.62,381,23,358,57.38,1,2,0,1,0,0,--,0,0,112,135,glory,2025,209.0,1.74,0.47,1.56,144.86,0.77,10.67,0.88,0.86,0.64,66.79,78.15,-0.98,0.13,-0.76,-0.93,-1.0,-0.71,-0.72,-0.97,-0.76,-0.74,-0.86,0.76,-0.45,-0.362
Cole Moore,3,41,28,7,4,3,3,8,17,89.47,147,42,105,57.14,0,2,0,0,0,0,0.00,0,2,39,54,glory,2025,209.0,3.55,0.85,3.12,282.64,1.52,20.52,1.79,1.76,1.27,134.15,148.64,-0.86,-0.57,-0.76,-1.08,-1.12,-0.92,-0.63,-0.87,-0.76,-1.05,-0.84,0.73,-0.36,-0.183
Oscar Graff,5,72,37,7,4,3,1,8,96,100.0,534,324,210,62.16,6,0,0,0,0,1,100.00,0,6,66,104,glory,2025,209.0,2.79,0.62,2.45,231.29,1.33,18.0,1.4,1.38,0.95,112.12,119.29,-0.86,-1.04,-0.76,-0.83,-0.43,-0.29,-0.63,-0.87,-1.03,-0.92,-0.56,1.26,-0.04,-0.028
Allan Laviolette,11,229,284,89,67,22,6,77,393,94.93,5660,3954,1706,58.1,15,16,0,2,0,32,86.49,0,228,1,261,flyers,2025,175.0,0.69,0.11,0.6,51.35,0.22,3.64,0.42,0.27,0.19,28.85,22.51,3.78,0.13,4.13,2.44,0.61,2.09,5.06,1.12,1.15,0.92,3.09,0.84,1.86,2.272
Jacob Fairfax,10,213,239,52,16,36,5,47,168,96.0,3919,816,3103,60.67,15,7,0,3,0,12,85.71,0,195,18,216,flyers,2025,175.0,0.66,0.12,0.58,53.68,0.27,3.39,0.29,0.37,0.19,21.32,32.39,1.69,-0.11,2.01,1.33,0.61,0.29,0.46,2.59,-0.08,2.63,-0.06,1.11,0.84,0.933
Grayson Sanner,12,241,291,56,24,32,7,43,210,91.7,4387,1407,2980,61.51,21,15,0,5,0,10,83.33,1,237,4,261,flyers,2025,175.0,0.56,0.11,0.47,45.83,0.24,2.94,0.27,0.29,0.19,19.57,26.28,1.91,0.36,1.72,1.62,1.31,0.63,1.18,2.17,1.01,2.48,0.53,1.2,0.7,0.855
Rutledge Smith,8,173,201,41,12,29,3,36,323,97.58,2983,1656,1327,61.69,15,6,0,2,0,0,--,0,166,7,196,flyers,2025,175.0,0.73,0.14,0.64,59.04,0.32,4.77,0.33,0.41,0.22,29.33,29.74,1.06,-0.57,1.22,0.73,0.61,1.53,0.1,1.86,-0.21,0.45,0.78,1.21,0.56,0.593
Ethan Bloodworth,10,211,148,26,21,5,8,26,181,95.77,1591,805,786,56.76,18,7,0,1,0,3,75.00,3,64,147,239,flyers,2025,175.0,0.89,0.22,0.79,70.4,0.44,5.5,0.5,0.39,0.31,33.92,36.51,0.21,0.59,0.52,-0.16,0.96,0.39,0.91,-0.66,-0.08,-0.21,-0.07,0.69,0.4,0.467
Terrence Mitchell,11,183,223,34,17,17,4,26,120,93.75,2730,850,1880,61.43,12,8,0,4,0,5,100.00,0,182,1,194,flyers,2025,175.0,0.63,0.13,0.53,52.24,0.27,3.42,0.32,0.32,0.21,22.96,29.3,0.67,-0.34,0.52,0.57,0.27,-0.1,0.55,0.6,0.06,1.13,-0.03,1.19,0.39,0.411
Dylan Hawkins,10,188,223,31,6,25,3,25,149,95.51,1789,350,1439,58.3,16,5,0,4,0,1,33.33,0,176,12,190,flyers,2025,175.0,0.62,0.12,0.53,48.11,0.29,3.55,0.27,0.35,0.2,20.77,27.36,0.5,-0.57,0.44,-0.03,0.73,0.14,-0.45,1.44,-0.35,0.59,-0.53,0.86,0.39,0.406
Trevor Lynch,6,113,90,21,10,11,2,18,90,94.74,1621,708,913,56.67,6,4,0,1,0,4,80.00,14,53,60,122,flyers,2025,175.0,1.38,0.28,1.19,113.69,0.59,7.89,0.68,0.69,0.46,53.61,60.14,-0.07,-0.81,-0.05,-0.14,-0.43,-0.34,-0.08,-0.03,-0.49,-0.06,-0.17,0.69,0.16,0.134
William Coffin,10,190,135,19,12,7,13,17,102,86.44,1693,967,726,48.15,4,14,0,1,0,8,53.33,114,52,138,207,flyers,2025,175.0,0.92,0.27,0.8,77.66,0.39,5.44,0.48,0.44,0.39,38.23,39.47,-0.18,1.76,-0.12,-0.09,-0.66,-0.24,0.1,-0.45,0.87,-0.29,0.09,-0.21,-0.74,-0.805
Cooper Williams,10,175,108,10,3,7,9,15,38,88.37,582,87,495,50.93,1,4,0,0,0,0,0.00,11,15,160,202,flyers,2025,175.0,1.06,0.3,0.97,86.39,0.45,6.18,0.51,0.55,0.39,39.58,46.86,-0.69,0.83,-0.27,-0.8,-1.0,-0.75,-0.72,-0.45,-0.49,-0.57,-0.79,0.08,-0.46,-0.494
Matt Tucker,12,211,107,11,1,10,9,15,27,87.1,622,52,570,55.14,8,4,0,1,0,0,--,1,1,210,219,flyers,2025,175.0,1.08,0.3,0.98,87.52,0.52,6.13,0.5,0.58,0.39,39.62,47.95,-0.64,0.83,-0.27,-0.77,-0.19,-0.84,-0.9,-0.13,-0.49,-0.48,-0.83,0.52,-0.12,-0.134
Drew Swanson,7,102,49,4,2,2,10,14,9,100.0,232,32,200,51.02,1,0,0,0,0,0,--,0,6,96,102,flyers,2025,175.0,2.11,0.65,2.02,174.3,0.94,12.39,1.06,1.06,0.74,81.8,92.59,-1.03,1.06,-0.34,-1.02,-1.0,-0.99,-0.81,-0.97,-1.03,-0.93,-0.85,0.09,-0.2,-0.153
Suraj Madiraju,10,182,98,14,8,6,2,12,90,94.74,737,424,313,54.08,6,4,0,0,0,1,100.00,0,10,172,204,flyers,2025,175.0,1.2,0.26,1.04,96.28,0.54,7.28,0.61,0.59,0.43,46.69,49.64,-0.47,-0.81,-0.48,-0.7,-0.43,-0.34,-0.27,-0.55,-0.49,-0.79,-0.46,0.41,-0.13,-0.14
Andrew Vande Berg,7,105,60,6,1,5,6,10,22,100.0,336,57,279,48.33,2,0,0,2,0,0,--,49,12,93,121,flyers,2025,175.0,1.78,0.48,1.62,146.4,0.8,10.49,0.86,0.92,0.62,68.34,78.14,-0.92,0.13,-0.62,-0.96,-0.89,-0.88,-0.9,-0.66,-1.03,-0.83,-0.82,-0.2,-0.15,-0.125
