Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
Jasper Tom,1055,16,5,20,11,90.28,143,79.0
AJ Merriman,972,12,4,19,17,84.21,194,47.0
Rhys Bergeron,673,12,5,14,7,89.29,178,41.0
Jacques Nissen,2343,18,16,12,2,96.67,127,194.0
David Cranston,519,8,6,11,6,96.91,174,39.0
Charlie McCutcheon,355,8,3,10,2,100.0,162,32.0
Luke Rehfuss,479,4,2,8,6,93.33,144,37.0
Troy Holland,778,6,5,7,5,94.67,171,48.0
Jake Kenniv,4645,57,20,40,11,92.8,276,170.0
Carson Chamberlain,3304,43,14,35,7,94.05,269,130.0
Malachi Neil,452,6,1,16,12,96.0,147,42.0
Daniel Robinson,2184,21,11,15,3,95.8,167,137.0
Nicholas Betsch,4473,37,21,15,7,91.59,267,155.0
Jack Havey,4303,37,20,11,1,92.56,243,166.0
Terry Gaither,359,5,0,10,7,84.21,178,20.0
Trevor Polisuk-Balfour,410,9,2,10,2,89.47,71,64.0
Brendan Gessner,464,8,3,9,1,100.0,69,89.0
Dylan Hall,737,13,1,8,5,84.62,152,42.0
Robby Davenport,1982,16,7,6,4,94.3,180,107.0
Joseph Cubitt,4874,41,25,5,3,94.04,285,163.0
Matt Gubernick,180,3,0,4,2,75.0,62,22.0
Riley Ulmer,189,3,0,4,1,83.33,41,42.0
Colin Beauregard,502,4,1,3,5,82.35,196,20.0
Caleb Stanish,121,2,0,3,2,100.0,55,30.0
Blake Krapfl,183,2,0,2,0,80.0,23,59.0
Chris Walsh,682,7,2,1,1,88.31,44,131.0
Nathan Ploeger,665,8,2,1,3,70.97,132,28.0
Aaron Schwieterman,92,1,0,0,0,90.91,12,67.0
Ben Lewis,3042,46,9,38,9,92.07,238,132.0
Mark Baldauf,2671,26,13,18,12,92.52,225,117.0
Jordan Salazar,1283,15,4,14,5,90.79,133,95.0
Jimmy Zuraw,2586,23,19,14,11,92.0,218,115.0
Caleb Dixon,1150,10,4,13,6,92.31,86,135.0
Elliot Sakach,1029,12,4,12,7,89.55,140,71.0
Kevin Land,1123,16,4,11,2,95.24,133,91.0
Noah Powell,888,10,4,11,3,97.06,111,91.0
Zachary Cotter,1004,12,5,11,6,89.29,125,77.0
Cam Albin,735,9,2,8,0,100.0,64,136.0
Max Grove,982,9,6,8,4,93.42,138,73.0
Brendan Adams,2733,27,11,7,4,89.22,210,114.0
Frankie Gomez,543,10,2,7,3,81.82,68,67.0
Xavier Fuzat,773,10,8,7,1,97.67,68,131.0
Dane Bossert,586,9,5,6,5,86.49,123,44.0
John Clyde,2313,28,12,6,5,86.03,133,144.0
James Kloss,443,6,2,4,1,89.29,61,69.0
Jake Worthington,549,4,2,4,2,93.94,55,100.0
Martin Cruz,431,7,1,4,0,92.86,30,147.0
Owen Smith,334,6,1,4,1,80.0,80,33.0
Cameron Brock,4204,55,20,45,1,95.19,266,171.0
Levi Jacobs,4289,50,17,42,2,94.26,247,182.0
Keegan North,3913,56,27,40,5,95.13,249,172.0
Rick Gross,4494,45,25,40,5,97.19,256,194.0
Travis Carpenter,4243,46,30,33,3,96.89,246,189.0
William Wettengel,953,13,6,28,22,87.72,205,52.0
Seth Gudeman,937,15,4,26,15,96.15,222,55.0
Jeremy Keusch,3028,39,12,24,4,94.76,238,133.0
Xavier Payne,4139,40,26,22,3,94.95,250,169.0
Nick Hutton,735,18,4,21,15,89.38,196,45.0
Carter Rae,1723,24,11,20,3,94.9,119,159.0
Conner Henderson,1145,20,10,18,4,93.75,154,85.0
Fletcher Hare,604,11,2,15,7,92.0,170,42.0
Jeremiah Branson,1672,19,11,14,3,95.12,154,116.0
Lucas Coniaris,1664,20,8,14,0,95.57,143,124.0
Jacob Fella,967,13,9,13,7,90.91,205,49.0
Ben Close,750,10,3,12,4,96.55,201,44.0
Jeffrey Burris,442,9,2,9,1,95.83,82,66.0
Will Quigley,309,5,2,9,4,100.0,108,41.0
Joey Cari,472,6,4,8,2,97.59,101,57.0
Sean McDougall,5307,92,25,87,13,93.65,339,176.0
Pawel Janas,8092,80,43,51,4,96.3,319,268.0
Lukas Ambrose,1629,27,10,47,24,97.75,337,66.0
Brandon Van Deusen,6548,55,40,40,7,96.05,286,240.0
Everest Shapiro,4734,46,24,35,12,91.56,321,143.0
Sam Cook,3344,36,22,31,4,95.85,288,126.0
Marcel Osborne,3759,44,20,24,1,91.67,224,162.0
Michael Kiyoi,2756,37,11,23,0,94.23,254,113.0
Daniel Brunker,1866,22,10,15,4,91.45,166,110.0
Landon Shank,557,13,5,14,4,95.59,146,50.0
Mitchell Steiner,1944,16,12,14,13,89.47,266,68.0
Kevin Tien,355,9,1,13,6,88.24,85,50.0
Andrew Padula,518,5,6,12,13,91.07,177,34.0
Zac Schakner,730,10,3,11,4,93.18,162,49.0
Milan Ravenell,500,9,2,9,2,91.3,142,38.0
Rhys Gretsch,653,12,5,8,3,85.45,77,78.0
Calvin Brown,655,9,3,6,4,80.0,78,64.0
Eddie Finley,268,3,1,5,4,94.74,130,24.0
Matt Miller,640,6,3,5,4,94.12,136,49.0
Garrett Santi,729,6,4,4,1,98.33,172,46.0
Anthony Gutowsky,1892,46,3,41,2,90.48,202,103.0
Kelsen Alexander,2095,30,18,27,6,95.38,173,138.0
Luke Marks,1125,21,4,27,9,94.81,211,66.0
Jake Carrico,717,16,4,23,10,95.16,106,92.0
Joe Leibforth,546,15,4,23,8,100.0,174,51.0
Avery Johnson,1671,25,11,21,1,98.33,133,150.0
Sam Stark,1144,18,8,21,4,98.39,133,109.0
Jacob Wham,1005,16,3,19,6,94.44,139,84.0
Andrew Meshnick,683,12,4,17,10,90.2,183,43.0
Jack Kelly,1679,26,10,16,1,92.91,136,128.0
Joshua Wilson,2060,23,20,15,5,94.07,214,101.0
Nico Ranabhat,505,11,1,13,5,92.59,123,49.0
Sterling Knoche,505,9,1,12,5,96.0,73,87.0
Victor Luo,3983,30,14,10,4,94.32,198,194.0
Alex Gravatt,149,7,1,9,3,83.33,92,22.0
Henry Goldenberg,3941,33,13,9,4,94.42,177,215.0
Ted Schewe,3547,28,11,9,1,93.09,205,162.0
Daniel Garlock,2424,18,15,8,4,92.76,162,142.0
Kai DeLorenzo,2355,21,20,6,13,84.92,255,75.0
Noah Nicol,143,3,0,6,3,100.0,46,49.0
Dylan DeClerck,1834,35,3,51,18,93.33,260,86.0
Bryan Vohnoutka,4228,56,27,46,6,94.63,279,164.0
Quinn Snider,2065,36,8,36,3,96.67,144,172.0
Bret Bergmeier,2058,31,16,32,10,92.42,220,102.0
Paul Krenik,744,17,3,27,11,97.5,127,85.0
Tanner Barcus,1283,15,12,27,16,97.87,236,70.0
Tristan Van de Moortele,2806,34,20,26,6,96.63,261,120.0
Jordan Taylor,2865,35,12,24,4,91.23,207,135.0
William Brandt,2602,34,12,23,4,95.02,153,181.0
Colin Berry,3124,39,8,22,4,88.76,210,135.0
Brandon Matis,848,11,2,14,7,88.57,180,47.0
James Kittlesen,390,5,3,14,10,100.0,165,36.0
Marty Adams,1723,16,13,13,6,90.7,184,90.0
Marco Dregni,1490,20,12,13,3,92.44,144,106.0
Abe Coffin,2076,23,12,12,2,91.62,128,156.0
Ian McCosky,303,8,4,12,6,94.23,73,61.0
Michael Jordan,1683,13,10,12,4,92.11,152,108.0
Mickey Walsh,610,14,5,12,4,88.37,126,52.0
Jason Tschida,1252,11,6,9,2,98.13,90,153.0
Cameron Lacy,464,5,3,8,7,91.3,128,39.0
Philippe Le Bourdais,1837,34,8,31,3,93.85,174,120.0
Malik Auger-Semmar,3231,42,8,28,7,90.36,170,181.0
Kevin Quinlan,4736,52,12,26,1,93.64,252,185.0
Christophe Tremblay-Joncas,3238,30,13,24,14,87.5,266,107.0
Thomas Lalonde-Landry,649,9,5,18,13,93.59,177,46.0
William St-Pierre,1581,25,5,18,1,89.66,119,129.0
Antoine Dubé,607,13,2,14,5,92.86,176,41.0
Eliott Heloir,593,5,2,7,4,93.18,51,121.0
Melvyn Brichet,1650,14,13,6,5,88.79,152,96.0
Raphaël Lalonde-Landry,220,4,0,5,1,100.0,30,98.0
Jacob Duquette,503,8,3,4,2,90.57,67,74.0
Simon Walker,940,6,0,4,1,94.92,86,106.0
Julien Sénéchal,661,4,6,3,3,88.89,62,95.0
Sam Warrick,718,4,1,3,1,95.24,118,60.0
Devon Asemota,75,2,1,2,1,83.33,42,19.0
Tynan Peterson,151,1,1,2,1,100.0,44,42.0
Desmond Staples,475,4,0,1,1,91.3,82,52.0
Julien Bernat,183,2,0,1,0,100.0,46,44.0
Max Ayad,306,5,2,1,0,86.36,81,32.0
Nabil Chaouch,492,5,4,1,2,88.89,35,125.0
Ryan Osgar,6217,95,31,80,2,95.94,243,290.0
Jeff Babbitt,3053,62,15,73,15,97.37,242,165.0
Ben Jagt,3634,50,18,53,17,89.29,263,138.0
Jack Williams,5091,62,31,41,3,94.56,276,194.0
John Randolph,2037,32,15,40,16,93.57,203,117.0
John Lithio,3547,37,16,27,3,95.6,249,150.0
Oliver Chartock,2759,32,17,26,7,95.09,216,137.0
Antoine Davis,705,11,1,25,16,97.44,218,46.0
Elliott Chartock,4087,39,25,25,1,96.91,221,198.0
Ryan Drost,519,8,2,24,19,93.88,159,47.0
Ben Katz,1429,27,20,22,11,90.96,205,77.0
Bretton Tan,444,11,1,18,9,92.31,128,47.0
Charles Weinberg,3092,28,25,18,5,94.51,205,155.0
Jeff Holm,906,12,4,14,6,95.83,141,74.0
Josue Alorro,952,13,8,13,5,94.12,129,82.0
Mike Drost,582,10,3,13,7,91.49,138,48.0
Marques Brownlee,1485,17,10,12,7,84.62,211,60.0
Solomon Rueschemeyer-Bailey,3851,19,24,11,4,97.39,244,163.0
Matt LaBar,405,9,0,9,3,87.5,80,52.0
Ethan Fortin,1044,13,8,8,3,94.67,177,63.0
Walker Frankenberg,4758,65,29,57,2,95.72,270,197.0
Keenan Laurence,4368,59,13,55,8,93.08,281,163.0
Gavin May,1470,24,5,30,10,91.43,182,89.0
Chris Lung,4718,43,19,28,7,92.65,234,195.0
Max Williams,2064,32,14,27,3,95.56,262,90.0
Evan Magsig,4115,42,28,23,5,94.1,272,153.0
Mac Hecht,6115,52,40,23,4,92.45,243,240.0
Wyatt Berreman,770,15,5,23,9,100.0,214,52.0
Raekwon Adkins,1270,26,3,18,6,85.14,172,68.0
Dexter Clyburn,3480,36,17,16,6,91.0,195,166.0
Robin Vickers Batzdorf,671,11,10,14,10,93.22,196,42.0
Dylan Nice,693,13,6,13,5,91.67,130,60.0
Brandon Fein,520,8,7,12,6,95.52,153,44.0
Conor Bauman,612,15,4,11,5,89.9,159,42.0
Matthew Burke,515,9,4,10,4,98.0,165,40.0
Ray Mendoza,461,6,3,9,9,86.49,163,28.0
Matt Barcellos,536,8,2,8,2,95.74,59,104.0
Kushal Khangaonkar,367,9,3,7,2,86.49,64,59.0
Dylan Burns,413,7,1,6,1,87.5,42,94.0
Munis Thahir,366,4,0,5,2,96.43,66,62.0
Greg Martin,2832,49,16,47,8,95.45,219,152.0
James Pollard,4946,66,12,46,7,87.32,260,170.0
Max Trifillis,1409,24,5,38,14,98.61,230,83.0
Sean Mott,5184,51,30,31,2,96.01,276,197.0
Eric Witmer,1347,20,6,26,14,92.23,240,63.0
Paul Owens,1091,19,11,24,16,95.57,254,55.0
CJ Colicchio,2114,26,13,22,3,96.46,136,174.0
Matt Hanna,845,17,7,21,10,89.83,150,65.0
Dmitry Suvorov,1251,16,8,14,2,98.18,132,111.0
Eric Nardelli,522,13,2,14,1,98.08,141,50.0
Calvin Trisolini,4441,38,24,12,3,93.88,225,191.0
Kainoa Chun-Moy,1314,16,10,12,5,93.8,156,89.0
Brandon Pastor,727,10,5,10,2,95.24,114,72.0
Mike Campanella,568,7,10,8,5,96.09,154,45.0
Gavin Abrahamsson,450,6,4,7,2,96.67,84,64.0
Justin Keller,646,9,5,6,3,94.4,160,44.0
Nate Little,189,4,1,6,4,88.24,81,27.0
Andres Rodriguez,320,6,2,5,2,92.86,44,81.0
Alex Thorne,2878,17,12,5,1,95.2,208,134.0
Jordan Rhyne,3580,25,21,3,5,91.91,221,147.0
Max Sheppard,5809,91,22,67,6,90.48,287,201.0
Carl Johnson,3214,59,11,60,10,91.74,261,135.0
Jimmy Towle,3489,39,21,29,2,96.75,219,175.0
Charlie Vukovic,1091,14,3,20,11,91.11,153,76.0
Jonathan Mast,5134,36,40,20,3,95.66,254,206.0
Mikey O'Brien,1794,22,11,20,10,86.05,160,101.0
Kenny Furdella,1371,17,12,17,2,98.48,153,107.0
Steve Mogielski,865,11,6,17,14,87.8,177,50.0
Anson Reppermund,3325,29,15,16,5,92.47,242,131.0
Clint McSherry,2745,27,15,15,3,93.33,127,213.0
Noah Celuch,2643,22,13,12,6,95.48,231,117.0
Chris Graber,515,9,2,11,4,93.75,93,65.0
Pete Zaccardi,1307,11,6,9,8,90.27,183,67.0
Alex Thomas,286,7,2,8,1,100.0,72,57.0
Jacob Anthuvan,616,8,2,8,4,91.3,111,57.0
Ryan Kindell,353,8,1,7,5,80.0,70,44.0
Thomas Hansen,274,4,1,6,2,100.0,99,37.0
Andrew Thompson,327,8,3,5,2,89.09,88,39.0
Dylan Best,252,6,1,5,0,94.44,19,158.0
John McMonigal,300,5,1,4,2,96.15,98,35.0
Quinn Buermeyer,2477,39,7,20,4,88.46,266,86.0
Raphy Hayes,2901,28,11,20,6,91.41,120,231.0
Nate Knutson,487,11,4,19,9,93.33,171,39.0
Genichi Nakano,1335,15,0,17,13,89.06,211,61.0
Scott Radlauer,1036,11,3,15,11,88.1,177,56.0
Aaron Peterschmidt,1040,14,4,14,3,97.01,111,108.0
Conner Stillwell,2227,19,13,12,4,90.63,161,128.0
Brian Stout,582,6,0,10,6,96.67,90,75.0
Jake Johnson,5102,39,12,10,6,93.17,289,164.0
Josh Moore,1091,12,8,10,3,96.05,124,97.0
Antonio Rueda,1206,12,8,8,7,92.99,184,66.0
Leandro Marx,855,15,6,8,0,90.32,48,177.0
Avi Taylor,341,4,3,6,3,91.67,56,67.0
Austin Kelly,1934,14,10,5,1,91.67,106,167.0
Eli Friedman,761,7,2,5,1,95.12,25,311.0
Tom Doi,525,9,4,5,0,85.19,36,129.0
Joel Caswell,219,3,0,4,1,90.91,58,39.0
Jon Snyder,2687,19,16,4,0,94.3,145,178.0
Landon Lavoie,560,7,2,4,7,83.58,84,55.0
Cole Eustis,526,4,1,3,3,94.0,92,57.0
Jordan Kerr,5880,103,25,100,9,94.96,327,208.0
Jace Duennebeil,3972,71,16,61,3,94.29,254,176.0
Jacob Miller,6213,53,43,41,2,97.69,312,217.0
Chad Yorgason,2240,38,9,38,9,93.66,295,86.0
Elijah Jaime,2896,41,12,38,4,95.77,230,142.0
Sean Connole,7054,58,27,35,1,94.53,291,240.0
Jonny Hoffman,1265,24,10,34,16,89.71,261,56.0
Will Selfridge,3420,39,21,33,8,95.47,306,121.0
Kyle Weinberg,1591,21,8,31,18,93.5,277,66.0
McKay Yorgason,3067,28,26,25,8,97.68,258,133.0
Tony Mounga,1274,18,1,25,13,90.16,162,83.0
Grant Lindsley,4253,37,15,23,1,95.81,243,179.0
Devon Terry,826,14,2,22,9,97.37,168,65.0
Everett Saunders,1054,15,3,18,9,91.18,106,106.0
Ben Hoffman,442,9,3,12,4,96.15,66,89.0
Braden Eberhard,856,9,10,11,5,97.0,113,89.0
Nathan Huff,539,8,7,11,4,98.55,195,37.0
Ben Ashton,1021,9,5,10,6,88.89,173,55.0
Eugene L'Heureux,1765,17,13,6,7,89.41,219,73.0
Joel Clutton,387,3,2,6,6,85.71,88,41.0
Travis Dunn,5321,71,22,49,3,93.2,242,226.0
Stefan Samu,3173,38,20,36,9,93.66,215,157.0
Max Gibson,5192,54,16,32,1,88.18,235,194.0
Jordan Queckboerner,1204,15,6,25,17,92.66,181,76.0
Casey Wu,1555,28,6,22,1,90.67,120,133.0
Paul Lally,4802,38,26,22,4,94.42,206,232.0
Bryce Lozinski,2489,28,13,19,1,95.31,253,104.0
Steven Milardovich,2900,28,11,19,4,91.67,159,174.0
Jeffrey Silverman,436,5,2,15,11,95.65,164,36.0
Michael Tran,2257,23,18,14,6,94.48,176,133.0
Thomas Konogeris,552,13,3,12,2,84.21,102,53.0
Garrett Hable,611,9,2,11,5,91.11,128,51.0
Caden Sigerud,820,8,4,10,5,98.33,187,51.0
Jimmy McGuinness,270,3,2,9,9,86.36,95,32.0
Kyle Rubin,1992,20,14,9,3,89.05,179,100.0
Ethan Li,860,8,7,6,2,94.23,147,60.0
Collin Gall,966,9,5,5,1,96.84,117,87.0
Reggie Sung,355,7,2,5,4,81.48,119,26.0
Trevor Purdy,352,5,1,5,4,78.95,111,25.0
Ben Levinsky,472,6,1,3,2,87.18,156,26.0
Garrett Martin,6586,85,31,59,4,91.73,293,223.0
Zeppelin Raunig,4308,47,17,45,5,96.55,219,217.0
Khalif El-Salaam,3378,44,19,42,7,95.19,193,194.0
Jack Brown,2392,34,12,22,4,85.15,157,132.0
Jamie Kauffman,1052,17,5,21,7,92.11,179,66.0
Spencer Lofink,1422,23,5,21,7,90.35,147,99.0
Dominic Jacobs,916,17,3,20,9,92.31,210,50.0
Marc Munoz,3593,33,14,16,1,93.62,163,215.0
Parker Howard,2005,24,6,16,5,91.67,170,115.0
Chris Roach,1027,18,1,14,11,73.08,171,40.0
Peter Geertz-Larson,936,11,4,14,4,91.89,180,54.0
Emmet Shipway,900,14,10,13,1,93.44,168,60.0
Tarik Akyuz,1100,12,5,13,5,90.48,155,70.0
Brandon Li,418,6,3,10,6,86.96,136,32.0
Kenny Lane III,2570,21,19,8,1,94.58,244,105.0
Jake Shoyer,755,9,2,7,1,93.48,66,117.0
Louie Bertoncin,514,4,1,6,4,97.87,111,53.0
Kota Sugahara,960,5,10,5,6,95.58,122,82.0
Kamal Raslan,852,5,7,4,3,94.51,97,88.0
Nate Wipfler,493,7,0,4,5,81.25,126,30.0
James Lewis,5348,59,22,55,13,92.96,278,197.0
Ty Barbieri,4364,63,12,51,4,88.83,212,196.0
Mike Mackenzie,3107,38,17,27,13,83.97,241,108.0
Keith McRae,2269,31,7,23,4,89.81,222,98.0
Ryan Poloz,4425,47,31,23,2,92.86,242,180.0
Griffin McKee,2112,24,8,20,5,94.52,193,115.0
Luc Comire,5955,36,29,20,6,96.13,267,225.0
Wilkie Lewis,2358,26,10,19,2,94.03,151,160.0
Rui Carvalho,433,7,1,12,10,88.64,180,27.0
Adam O'Donnell,2808,23,14,11,1,95.79,156,183.0
Oscar Stonehouse,1844,19,9,11,6,86.96,165,97.0
Kevin Jay,749,10,3,8,2,92.06,128,60.0
Zachary Armstrong,469,7,1,8,2,95.0,116,46.0
Kelvin Huang,538,12,3,7,1,89.13,143,38.0
Jamie Millage,244,4,2,5,2,93.33,45,64.0
Curtis Campbell,108,3,1,4,2,100.0,27,64.0
Dax Miller,881,6,4,4,5,90.8,114,71.0
James McClean,269,5,4,4,0,97.14,50,67.0
Phil Turner,464,1,5,4,8,86.05,111,37.0
Adam Turcotte,583,6,1,3,4,93.1,95,60.0
Jeremy Langdon,3731,61,16,55,1,97.45,185,240.0
Brett Hulsmeyer,5711,59,22,54,8,96.25,255,243.0
Austin Taylor,5229,64,26,46,2,96.03,266,213.0
Hayden Austin-Knab,4146,46,31,37,3,95.91,234,193.0
Bobby Ley,5554,49,18,32,1,94.67,256,217.0
Aidan Downey,1066,23,7,28,7,98.2,98,149.0
Tyler Randall,813,20,2,27,11,96.05,182,62.0
Dean Ramsey,956,23,2,26,9,87.88,239,44.0
Justin Burnett,920,17,3,25,10,92.86,130,86.0
Lukas McClamrock,1162,15,12,25,16,94.48,119,119.0
Adam Miller,1874,26,14,21,6,94.01,127,160.0
Karl Ekwurtzel,2352,22,12,19,0,98.68,185,143.0
Michael Fairley,1008,14,2,18,8,94.74,165,70.0
Franky Fernandez,256,6,0,15,10,100.0,108,43.0
Matt Smith,1679,14,12,15,2,99.02,101,191.0
Trip Crowley,671,18,2,15,1,85.71,62,109.0
Christian Olsen,1831,17,15,13,3,96.54,132,150.0
Mike Kobyra,501,6,3,13,10,93.65,195,32.0
Billy O'Bryan,821,13,10,11,4,93.2,136,67.0
Bradley Seuntjens,799,8,9,10,5,96.9,186,50.0
Evan Swiatek,3425,57,28,49,5,93.06,198,190.0
Joey Wylie,4238,43,25,32,2,94.2,256,170.0
Kyle Henke,6018,51,27,32,6,91.14,292,192.0
Jackson Potts,3365,42,14,31,5,91.96,271,124.0
Jake Reinhardt,1835,31,8,31,7,92.31,222,90.0
Mark Henke,1813,26,8,28,7,93.02,213,93.0
Joshua Zdrodowski,1544,30,5,26,4,91.78,225,74.0
Matthew Armour,3128,34,22,23,6,93.46,207,154.0
Oliver Fay,1113,17,6,23,9,96.08,156,88.0
Reese Bowman,2103,27,10,21,5,92.91,184,118.0
Eric Brodbeck,2068,23,13,19,3,95.91,204,110.0
Elliott Moore,1418,22,9,19,2,93.75,123,126.0
Mick Walter,725,9,3,17,11,94.44,168,52.0
Brandon Dial,780,11,5,14,7,93.85,174,52.0
Jacob Kaplan,1873,20,6,13,2,94.32,177,107.0
Nick Loughran,503,9,4,11,5,90.32,109,52.0
Duncan Fitzgerald,3637,31,23,10,2,94.44,215,166.0
Jordan Salazar,397,6,3,8,5,90.48,68,64.0
Jake Radack,3505,25,18,7,2,93.81,188,178.0
Mark Evans,2168,23,8,7,2,90.5,100,196.0
Jeff Babbitt,3217,50,13,68,22,98.12,284,145.0
Peter Boerth,2427,43,7,36,5,93.18,189,140.0
Simon Carapella,5161,50,32,36,1,96.18,243,226.0
Orion Cable,2606,41,14,35,5,91.91,162,169.0
Tannor Johnson-Go,3457,34,17,30,6,96.17,165,226.0
Benjamin Sadok,5254,58,21,27,1,95.2,221,243.0
Rocco Linehan,418,11,6,21,12,96.91,130,54.0
Tyler Chan,3183,29,7,20,2,94.55,167,191.0
Brendan McCann,944,16,13,17,7,95.51,201,58.0
Luke Webb,821,10,1,16,7,91.18,166,53.0
Gabe Colton,701,9,3,15,8,94.44,140,59.0
Reed Browning,625,14,1,14,4,91.67,162,44.0
Gustav Haflin,645,8,4,13,10,91.43,145,50.0
Colin Sunde,2714,18,14,12,3,96.44,156,179.0
Topher Davis,634,8,9,12,4,97.59,124,65.0
Ben Katz,509,9,4,11,2,100.0,115,60.0
Jonah Stang-Osborne,1039,16,6,11,3,91.26,145,73.0
Turner Allen,739,7,5,9,4,96.77,152,55.0
Jac Carreiro,117,4,2,7,3,100.0,53,42.0
Nathanial Dick,3617,21,24,7,1,97.31,177,209.0
Allan Laviolette,6222,83,27,62,4,93.41,304,212.0
Anders Juengst,4619,68,35,53,2,95.27,262,196.0
Jacob Fairfax,5169,47,24,47,12,95.9,301,184.0
Grayson Sanner,2851,49,18,45,5,93.83,251,128.0
Henry Fisher,2172,34,7,45,17,97.44,233,117.0
Terrence Mitchell,4386,52,26,41,3,94.71,292,160.0
Tobias Brooks,4823,47,21,34,2,93.64,204,237.0
Matt Tucker,1057,18,6,33,18,90.48,217,59.0
Trevor Lynch,2041,35,15,28,6,92.82,245,91.0
Drew Swanson,828,14,7,26,13,96.55,197,58.0
Elijah Long,4437,44,30,26,4,96.51,326,145.0
Christian Belus,771,17,5,24,15,90.0,162,58.0
Ethan Bloodworth,2278,27,18,17,2,95.72,213,115.0
William Coffin,1539,22,5,17,7,88.35,247,59.0
Dylan Hawkins,1785,21,10,15,3,94.44,187,100.0
John Wellers,303,2,1,15,15,92.86,138,32.0
Alex Davis,232,6,3,12,7,96.55,107,36.0
Cooper Williams,657,5,3,10,7,93.62,170,42.0
Clint McSherry,1042,13,5,7,3,94.21,129,83.0
Ben Snell,668,9,7,5,3,94.77,116,62.0
Wilson Matthews,2632,46,13,42,4,96.0,209,148.0
Andrew Sjogren,2990,43,19,41,7,95.5,221,154.0
Nate Astrom,1489,28,6,38,19,86.17,224,69.0
Jack Shanahan,4259,55,16,33,2,93.24,210,205.0
John Lithio,4178,33,25,30,5,96.96,219,205.0
Benjamin Preiss,1403,25,8,27,7,95.83,238,72.0
Jake Rubin-Miller,1069,14,11,23,20,90.8,206,59.0
Sam Kaminsky,4332,40,29,22,4,96.19,240,189.0
Dex Dremann,5697,47,20,17,4,93.36,245,221.0
Joe Cercello,1006,14,3,17,7,90.57,113,93.0
Jesse Johnson,1210,17,6,16,7,91.36,190,66.0
Grant Harris,858,9,5,14,10,94.67,137,72.0
Jake Steslicki,1353,17,14,13,4,95.98,178,85.0
Cal Tornabene,308,2,2,11,10,96.88,99,44.0
Milan Rivas,1187,16,10,8,1,95.3,172,74.0
Jeff Weis,3132,32,18,7,1,93.93,193,158.0
Ray Mauntel,158,4,0,7,5,92.86,84,27.0
Yipeng Wang,83,1,0,4,4,100.0,35,39.0
Joel Willison,214,3,0,3,4,81.82,65,28.0
Nick Pappas,241,3,1,3,5,86.96,112,20.0
Noah Coolman,4337,53,19,44,11,93.18,223,201.0
Alex Atkins,6691,67,35,43,11,94.28,282,241.0
Mathieu Agee,553,12,4,22,11,96.15,144,57.0
Nicholas Snuszka,514,15,3,21,8,97.06,135,58.0
Quinn Finer,2316,28,11,21,0,95.81,101,247.0
Zeke Thoreson,2313,27,14,20,2,96.88,155,165.0
Dennis Bechis,1181,18,6,17,1,98.06,121,117.0
Sam Goldstein,1191,20,6,17,8,91.41,157,80.0
Saeed Semrin,2143,24,8,17,4,90.83,183,112.0
Logan Pruess,1032,17,5,16,1,97.65,132,94.0
Thomas Brewster,1020,17,7,16,0,98.25,121,104.0
Seth Faris,545,13,3,15,4,92.31,148,45.0
Nanda Min-Fink,3171,26,19,13,1,96.09,165,197.0
Jay Froude,1192,11,11,12,4,98.06,145,95.0
Sandy Brown,847,11,3,12,5,94.23,170,55.0
Alex Tatum,2327,20,10,11,8,87.58,192,104.0
Kai Marshall,512,4,4,11,11,90.0,148,38.0
Chance Cochran,1053,11,6,10,2,95.0,119,94.0
David Yu,814,6,6,8,5,98.06,148,63.0
Matt Jackson,783,11,5,8,1,97.3,153,59.0
Cole Jurek,4161,50,20,45,9,95.96,280,164.0
Tyler Monroe,4034,54,27,43,2,95.14,212,208.0
Elliot Bonnet,3869,44,15,37,6,94.86,186,220.0
Jonny Malks,4859,59,18,36,2,94.22,186,268.0
Thomas Edmonds,1928,34,10,32,7,93.4,194,112.0
Miles Grovic,1042,19,6,28,9,100.0,147,100.0
Gus Norrbom,2792,29,22,25,1,98.68,167,192.0
AJ Merriman,1470,18,4,24,10,89.47,214,69.0
Jeff Wodatch,3233,28,16,23,3,96.59,211,163.0
Jacques Nissen,3409,29,20,21,3,96.09,192,186.0
Jasper Tom,775,18,4,21,8,93.44,146,67.0
Rowan McDonnell,3348,33,19,21,5,94.89,196,176.0
Charlie McCutcheon,778,13,6,19,6,100.0,210,51.0
David Bloodgood,1345,15,13,17,14,93.22,185,79.0
Rhys Bergeron,822,14,6,16,9,92.21,201,47.0
Troy Holland,587,12,4,14,5,94.34,91,80.0
Andrew Roy,5121,28,28,12,2,96.56,252,204.0
Kevin Healey,817,11,3,12,4,95.24,139,66.0
Jace Dean,701,6,4,11,6,98.11,175,48.0
Luke Rehfuss,646,9,3,10,4,94.44,125,58.0
Brendan Gessner,2560,33,11,35,5,97.7,273,110.0
Terry Gaither,1596,27,4,22,6,91.14,232,71.0
Carson Chamberlain,2591,26,14,21,3,96.03,172,161.0
Gregory Moreno,1573,15,10,18,11,94.81,224,76.0
Colin Beauregard,1786,18,6,15,13,90.71,223,77.0
Jake Felton,7347,85,17,12,9,83.24,263,211.0
Jordan Hill,1087,12,4,9,4,96.0,140,83.0
Marco Dewey,1524,12,4,9,4,95.87,173,91.0
Nathan Ploeger,1281,15,7,9,2,87.5,117,97.0
