Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Mike Mackenzie,5,111,68,11,3,8,4,9,44,89.8,938,375,563,52.94,7,5,0,1,0,1,50.00,21,19,92,118,rush,2025,4.41,11.76,16.18,0.65,3.6,0.08,6.0,8.0,14.0,10.29,7.35,21.32,174.0,1.11,0.26,0.12,13.6,0.51,0.67,0.45,0.59,0.34,5.48,8.12,1.46,0.6,0.58,-0.02,0.73,0.76,-0.25,0.46,0.7,0.72,0.94,0.17,0.29,0.5,-0.13,-0.107
Lucas Storm,7,142,151,22,11,11,4,19,88,93.62,1490,526,964,45.03,5,6,0,1,0,3,60.00,0,110,32,152,thunderbirds,2025,7.28,7.28,14.57,0.58,2.82,0.13,3.0,6.0,10.0,3.31,3.97,16.93,152.0,0.59,0.12,0.12,9.9,0.22,0.6,0.26,0.29,0.17,3.53,6.37,0.65,-0.36,-0.48,-0.02,-0.17,-0.5,-0.43,-0.35,-0.38,-0.39,0.25,-0.39,-0.54,0.03,-0.11,-0.11
Owen Johnson,12,183,115,16,4,12,14,26,58,93.55,967,157,810,59.13,8,4,0,0,0,0,--,0,21,162,192,sol,2025,3.48,10.43,13.91,0.5,7.65,0.14,1.0,7.0,8.0,6.96,3.48,16.67,193.0,0.72,0.24,0.22,8.52,0.32,0.52,0.28,0.39,0.2,1.52,7.0,0.85,-0.12,0.43,1.6,-0.51,-0.06,-0.63,-0.27,-0.02,-0.2,0.5,-0.96,0.94,0.0,-0.11,-0.11
Nathan Hsieh,6,82,56,8,2,6,0,5,28,87.5,650,310,340,53.57,6,3,0,0,0,2,66.67,0,29,53,96,rush,2025,3.57,10.71,14.29,0.5,0.0,0.06,6.0,6.0,12.0,10.71,5.36,23.21,174.0,1.28,0.25,0.08,11.56,0.59,0.54,0.52,0.67,0.38,5.49,6.07,1.77,0.91,0.5,-0.67,0.23,1.11,-0.58,0.76,0.99,0.98,0.14,0.18,0.36,0.7,-0.15,-0.111
Peter Lenz,7,81,94,10,5,5,5,9,88,94.62,1055,708,347,54.26,2,5,0,1,0,3,100.00,5,61,20,90,growlers,2025,5.32,5.32,10.64,0.94,6.17,0.11,8.0,4.0,11.0,2.13,5.32,11.99,223.0,0.81,0.2,0.09,11.21,0.32,0.94,0.35,0.4,0.25,7.4,3.81,0.98,0.05,0.12,-0.51,0.15,-0.06,0.44,0.03,0.02,0.13,-0.75,0.72,0.43,-0.5,-0.19,-0.121
Samuel Ingham,10,179,188,33,16,17,3,20,122,90.37,2568,844,1724,39.36,5,13,0,3,0,0,0.00,0,94,85,207,alleycats,2025,8.51,9.04,17.55,0.65,1.68,0.11,4.0,9.0,14.0,2.66,6.91,21.05,164.0,0.53,0.09,0.1,13.59,0.18,0.66,0.24,0.27,0.17,4.5,9.09,0.55,-0.47,-0.71,-0.34,0.73,-0.67,-0.28,-0.44,-0.45,-0.39,1.32,-0.11,-1.14,0.47,-0.11,-0.124
Jeremy Knopf,12,170,134,12,6,6,1,11,116,98.31,696,507,189,58.96,2,2,0,0,0,3,100.00,0,62,108,179,apex,2025,4.48,4.48,8.96,0.87,0.59,0.06,4.0,1.0,5.0,1.49,1.49,6.0,194.0,0.59,0.12,0.08,5.4,0.23,0.87,0.26,0.29,0.16,3.83,1.58,0.65,-0.36,-0.48,-0.67,-1.27,-0.45,0.26,-0.35,-0.38,-0.46,-1.63,-0.3,0.93,-1.14,-0.13,-0.125
Jack Galle,8,173,193,24,5,19,8,23,122,95.31,1654,314,1340,37.31,5,6,0,3,0,1,100.00,0,117,56,193,alleycats,2025,2.59,9.84,12.44,0.63,4.62,0.13,2.0,7.0,9.0,2.59,3.11,13.56,164.0,0.47,0.12,0.12,8.63,0.18,0.64,0.18,0.27,0.13,1.71,6.92,0.5,-0.58,-0.48,-0.02,-0.48,-0.67,-0.33,-0.7,-0.45,-0.65,0.47,-0.91,-1.36,-0.33,-0.12,-0.13
Ty Barbieri,10,212,238,44,8,36,1,31,73,89.02,2005,214,1791,55.04,5,9,1,5,0,2,40.00,0,194,18,221,rush,2025,3.36,15.13,18.49,0.31,0.47,0.15,1.0,8.0,8.0,2.1,3.78,27.47,174.0,0.47,0.07,0.13,8.48,0.14,0.32,0.16,0.29,0.12,0.98,7.49,0.46,-0.58,-0.86,0.14,-0.52,-0.84,-1.15,-0.78,-0.38,-0.72,0.69,-1.12,0.51,1.16,-0.12,-0.135
Sam Pew,13,233,130,16,8,8,11,23,73,94.81,988,309,679,58.46,6,4,0,0,0,1,33.33,0,7,226,235,shred,2025,6.15,6.15,12.31,0.56,4.72,0.1,2.0,5.0,8.0,4.62,3.08,13.53,214.0,0.64,0.19,0.17,7.73,0.27,0.58,0.28,0.32,0.18,2.47,5.25,0.73,-0.26,0.05,0.79,-0.7,-0.28,-0.48,-0.27,-0.27,-0.33,-0.19,-0.69,0.87,-0.34,-0.13,-0.136
Orion Cable,15,274,328,57,17,40,5,39,181,90.5,4308,678,3630,54.88,12,19,1,4,0,17,56.67,0,250,24,322,glory,2025,5.18,12.2,17.38,0.55,1.82,0.14,2.0,11.0,13.0,3.66,5.79,23.8,209.0,0.38,0.06,0.12,13.1,0.13,0.56,0.14,0.23,0.12,2.11,10.99,0.33,-0.74,-0.93,-0.02,0.61,-0.89,-0.53,-0.87,-0.6,-0.72,2.07,-0.79,0.5,0.76,-0.11,-0.137
Blake Krapfl,14,210,157,18,8,10,15,30,23,88.46,729,235,494,54.14,7,3,0,0,1,2,100.00,0,0,210,247,windchill,2025,5.1,6.37,11.46,0.15,7.14,0.14,1.0,3.0,5.0,4.46,1.91,31.7,247.0,0.54,0.19,0.19,4.84,0.23,0.17,0.23,0.28,0.14,1.6,3.23,0.72,-0.45,0.05,1.11,-1.41,-0.45,-1.53,-0.48,-0.42,-0.59,-0.98,-0.94,0.42,1.61,-0.14,-0.14
Simon Dastrup,5,84,79,13,5,8,4,12,31,88.57,933,278,655,68.35,2,4,0,1,0,4,100.00,0,33,51,92,union,2025,6.33,10.13,16.46,0.39,4.76,0.14,4.0,8.0,12.0,2.53,5.06,30.1,166.0,0.99,0.23,0.14,11.76,0.38,0.43,0.42,0.51,0.29,3.61,8.15,1.37,0.38,0.35,0.3,0.28,0.2,-0.86,0.33,0.41,0.39,0.95,-0.36,1.92,1.44,-0.19,-0.141
Drew Swanson,7,102,49,4,2,2,10,14,9,100.0,232,32,200,51.02,1,0,0,0,0,0,--,0,6,96,102,flyers,2025,4.08,4.08,8.16,0.18,9.8,0.14,1.0,4.0,5.0,2.04,0.0,25.78,175.0,1.37,0.46,0.26,5.31,0.57,0.26,0.59,0.69,0.37,1.06,4.26,2.05,1.07,2.09,2.25,-1.29,1.02,-1.3,1.06,1.06,0.91,-0.58,-1.1,0.09,0.98,-0.19,-0.145
